Year,State,Allowances Sold,Auction Proceeds,Price
2008,NH,"1,189,610","4,020,882",3.380000168
2009,NH,"5,255,322","14,140,468",2.69069488
2010,NH,"5,221,458","10,053,925",1.92550146
2011,NH,"3,441,787","6,504,977",1.889999875
2012,NH,"4,006,413","7,732,377",1.929999978
2013,NH,"6,772,351","19,754,661",2.916957641
2014,NH,"3,027,629","14,128,101",4.666391093
2015,NH,"4,012,166","24,400,941",6.081737645
2016,NH,"3,374,482","15,081,286",4.469215127
2017,NH,"3,260,895","11,072,494",3.395538341
2018,NH,"3,151,333","13,878,414",4.403982061
2019,NH,"3,044,056","16,530,729",5.43049438
2020,NH,"1,511,571","8,620,139",5.70276818
2008,NJ,"4,532,761","15,320,732",3.37999996
2009,NJ,"13,482,097","40,035,381",2.969521804
2010,NJ,"18,600,512","35,557,163",1.911622809
2011,NJ,"11,868,400","22,431,276",1.89
2012,NJ,0,0,#DIV/0!
2013,NJ,0,0,#DIV/0!
2014,NJ,0,0,#DIV/0!
2015,NJ,0,0,#DIV/0!
2016,NJ,0,0,#DIV/0!
2017,NJ,0,0,#DIV/0!
2018,NJ,0,0,#DIV/0!
2019,NJ,0,0,#DIV/0!
2020,NJ,"7,339,952","41,837,726",5.699999946
2008,NY,"12,422,161","41,986,904",3.379999986
2009,NY,"50,908,287","138,691,813",2.72434649
2010,NY,"52,748,753","101,593,966",1.925997492
2011,NY,"33,125,067","62,606,377",1.890000011
2012,NY,"34,045,368","65,707,560",1.929999993
2013,NY,"59,181,480","172,779,777",2.919490641
2014,NY,"30,639,431","144,866,370",4.72810249
2015,NY,"27,519,062","167,732,009",6.095120866
2016,NY,"22,767,083","101,711,944",4.467500031
2017,NY,"22,115,220","75,634,052",3.419999982
2018,NY,"21,294,281","94,014,250",4.414999971
2019,NY,"20,493,866","111,179,223",5.424999998
2020,NY,"9,856,730","56,183,361",5.7
2008,RI,"877,548","2,830,092",3.224999658
2009,RI,"1,878,043","5,092,494",2.71159606
2010,RI,"2,293,680","4,417,622",1.925997524
2011,RI,"1,470,951","2,780,097",1.889999735
2012,RI,"1,480,590","2,857,539",1.930000203
2013,RI,"2,526,661","7,385,288",2.922943759
2014,RI,"2,186,717","10,364,421",4.739717577
2015,RI,"2,014,164","12,287,420",6.100506215
2016,RI,"1,820,262","8,133,410",4.46826336
2017,RI,"1,014,132","3,448,504",3.400448857
2018,RI,"979,549","4,316,294",4.40640948
2019,RI,"1,652,696","9,005,302",5.448855688
2020,RI,"715,699","4,080,133",5.700906387
2008,VT,"404,524","1,304,590",3.225000247
2009,VT,"865,719","2,347,481",2.71159695
2010,VT,"1,064,346","2,049,464",1.9255618
2011,VT,"669,673","1,265,682",1.890000045
2012,VT,"682,510","1,317,244",1.92999956
2013,VT,"1,152,896","3,366,456",2.919999722
2014,VT,"602,727","2,850,679",4.729635473
2015,VT,"545,927","3,327,755",6.095604357
2016,VT,"455,904","2,036,751",4.467499737
2017,VT,"458,837","1,569,222",3.419998823
2018,VT,"443,346","1,957,372",4.414998669
2019,VT,"414,945","2,251,076",5.424998494
2020,VT,"198,253","1,130,042",5.699999496
